region,USL,ARD,PP-DD,UDMR,PRM
Bihor,50.79,12.38,9.41,19.57,1.3
Bistrita-Nasaud,53.48,25.35,10.36,4.82,0.3
Cluj,46.21,23.13,10.39,12.99,2.46
Maramures,55.39,19.2,13.95,6.29,0
Satu Mare,39.52,14.87,7.7,33.02,0
Salaj,39.99,16.43,16.16,22.36,0
Alba,49.67,28.9,14.48,2.86,0.34
Brasov,56.26,19.2,9.44,6.33,2.68
Covasna,14.3,4.01,4.18,57.46,0.82
Harghita,9.2,2.16,0.62,71.34,0.35
Mures,38.49,11.64,8.71,34.38,0.96
Sibiu,51.74,21.27,13.4,2.04,0
Bacau,61.31,12.67,19.78,0.39,0.61
Botosani,69.31,10.74,15.2,0.23,1.37
Iasi,63.07,15.35,15.07,0.13,0.99
Neamt,62.02,17.2,13.5,0.17,2.1
Suceava,59.42,23.14,11.82,0.17,1.91
Vaslui,62.8,17.03,15.05,0.84,0
Braila,64.25,11.53,19.08,0.27,0.21
Buzau,68.22,12.4,13.35,0.19,2.09
Constanta,60.43,15.51,16.38,0.22,1.62
Galati,65.44,12.86,15.46,0.42,1.16
Tulcea,58.3,15.16,19.7,0.22,0.77
Vrancea,65.6,12.73,16.11,0.13,0
Arges,67.85,12.56,15.26,0.47,1.18
Calarasi,64.38,15.17,15.32,0.21,1.46
Dambovita,61.21,19.41,15.89,0.12,0.16
Giurgiu,71.14,9.85,15.66,0.17,0.66
Ialomita,59.06,16.22,20.38,0.16,0.23
Prahova,58.46,24.83,13.32,0.13,1.15
Teleorman,74.4,11.19,12.15,0.16,0.42
Bucuresti,65.29,19.63,9.4,0.3,2.25
Ilfov,70.59,11.78,13.73,0.15,1.47
Dolj,65.9,15.74,14.97,0.27,0.43
Gorj,55.38,10.73,30.83,0.36,1.09
Mehedinti,64.42,18.15,12.86,0.28,1.81
Olt,66.02,7.53,21.44,0.13,1.77
Valcea,65.94,14.26,15.2,0.28,1.97
Arad,46.65,29.44,13.28,6.06,0.34
Caras-Severin,57.58,15.76,19.1,0.7,1.26
Hunedoara,61.67,11.6,16.48,2.75,3.38
Timis,56.28,20.8,13.26,3.11,1.61
