region,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljopartiet,Socialdemokraterna,Vansterpartiet,Sverigedemokraterna,Ovriga
"Upplands-Väsby";"27.2";"36.7";"7.0";"8.3";"4.0";"4.8";"5.2";"5.5";"1.3"
"Vallentuna";"16.9";"44.5";"7.7";"8.7";"7.3";"4.0";"3.0";"6.5";"1.4"
"Österåker";"17.8";"45.5";"7.5";"9.2";"5.8";"3.5";"3.3";"6.2";"1.2"
"Värmdö";"17.6";"45.9";"8.6";"7.6";"5.8";"4.1";"3.6";"5.4";"1.3"
"Järfälla";"25.7";"36.4";"7.8";"8.4";"4.2";"4.8";"5.3";"6.0";"1.4"
"Ekerö";"13.2";"47.1";"8.2";"9.3";"7.3";"3.4";"3.2";"7.1";"1.1"
"Huddinge";"24.8";"38.7";"7.6";"7.7";"4.4";"4.8";"5.3";"5.2";"1.5"
"Botkyrka";"35.7";"30.0";"6.9";"6.2";"2.8";"4.9";"7.1";"5.1";"1.4"
"Salem";"22.6";"38.6";"7.8";"9.2";"5.7";"5.2";"4.0";"5.4";"1.4"
"Haninge";"28.0";"36.8";"7.3";"6.9";"3.9";"5.7";"5.0";"4.5";"1.9"
"Tyresö";"21.5";"42.2";"8.2";"8.4";"4.8";"4.1";"4.0";"5.5";"1.3"
"Upplands-Bro";"27.7";"35.1";"6.8";"8.2";"4.2";"5.2";"4.5";"7.0";"1.4"
"Nykvarn";"23.9";"41.7";"6.1";"6.9";"5.1";"7.3";"2.5";"5.0";"1.5"
"Täby";"10.7";"50.8";"5.2";"11.5";"7.8";"2.3";"1.9";"8.7";"1.0"
"Danderyd";"5.8";"52.1";"3.9";"10.1";"11.1";"1.7";"1.2";"13.3";"0.8"
"Sollentuna";"17.8";"42.2";"7.3";"9.8";"7.0";"3.2";"3.8";"7.7";"1.3"
"Stockholm";"20.9";"34.3";"12.2";"8.6";"6.3";"3.2";"7.4";"5.3";"1.8"
"Södertälje";"34.0";"29.5";"8.3";"6.2";"3.9";"5.6";"5.2";"5.4";"2.0"
"Nacka";"16.0";"44.0";"8.7";"9.0";"7.4";"2.7";"4.0";"6.9";"1.3"
"Sundbyberg";"25.9";"34.6";"9.9";"7.9";"4.5";"4.4";"6.9";"4.0";"1.8"
